desc_id,issue_desc,issue_category
1,khách hàng phản ánh rơi bồn rửa máy chập chờn,NUOC_VAO
2,khách hàng phản ánh máy bị đổ nước ngọt vào không sạc được xảy ra sau khi rơi,NUOC_VAO
3,tình trạng: camera mở lên bị đen màn đã thử khởi động lại không được,PHAN_MEM
4,khách báo không nhận sim xảy ra sau khi rơi,KHAC
5,khach hang phan anh may tu tat khi con 30% pin da thu khoi dong lai khong duoc,PIN
6,kh nói màn hình xuất hiện vệt mực loang đã thử khởi động lại không được,MAN_HINH
7,TÌNH TRẠNG: CHÂN SẠC LỎNG PHẢI GIỮ MỚI SẠC ĐƯỢC ĐÃ THỬ KHỞI ĐỘNG LẠI KHÔNG ĐƯỢC,SAC
8,cam ung cho duoc cho khong bi tu tuan truoc,MAN_HINH
9,kh nói điện thoại dính nước mưa loa bị rè bị từ tuần trước,NUOC_VAO
10,tình trạng: cảm ứng chỗ được chỗ không đã thử khởi động lại không được,MAN_HINH
11,chan sac long phai giu moi sac duoc bi tu tuan truoc,SAC
12,may bi máy phồng pin cấn màn hình bị từ tuần trước,PIN
13,may bi may tu tat khi con 30% pin bi tu tuan truoc,PIN
14,kh nói màn hình xuất hiện vệt mực loang bị từ tuần trước,MAN_HINH
15,khách báo máy rơi vào nước không lên nguồn đã thử khởi động lại không được,NUOC_VAO
16,tình trạng: màn hình bị sọc dọc khách chưa từng sửa ở đâu,MAN_HINH
17,tình trạng: rơi bồn rửa máy chập chờn máy còn bảo hành,NUOC_VAO
18,ứng dụng tự thoát liên tục mới bị 2 ngày nay,PHAN_MEM
19,may bi cắm sạc báo lỗi phụ kiện mới bị 2 ngày nay,SAC
20,tình trạng: không cài được ứng dụng báo lỗi xảy ra sau khi rơi,PHAN_MEM
21,cổng sạc bị gãy chân máy còn bảo hành,SAC
22,may bi cổng sạc bị gãy chân bị từ tuần trước,SAC
23,TÌNH TRẠNG: LOA NGOÀI RÈ KHÔNG NGHE RÕ MÁY CÒN BẢO HÀNH,KHAC
24,màn hình nứt sau khi rơi,MAN_HINH
25,MAY BI MÀN HÌNH BỊ ÁM VÀNG MỘT GÓC,MAN_HINH
26,tình trạng: sạc rất chậm mất cả đêm bị từ tuần trước,SAC
27,khach hang phan anh may vao nuoc man hinh loang o xay ra sau khi roi,NUOC_VAO
28,tình trạng: báo pin sai phần trăm nhảy loạn khách chưa từng sửa ở đâu,PIN
29,khách hàng phản ánh màn hình xuất hiện vệt mực loang bị từ tuần trước,MAN_HINH
30,khach hang phan anh sac day nhung dung 30 phut la sap nguon,PIN
31,tình trạng: điểm chết trên màn hình xảy ra sau khi rơi,MAN_HINH
