order_id,product_id,so_luong,don_gia,thanh_tien
1,32,1,11990000,11990000
2,265,1,31990000,31990000
2,24,1,6490000,6490000
3,161,1,18990000,18990000
4,56,2,5841000,11682000
5,122,1,4990000,4990000
6,280,1,4590000,4590000
6,286,1,3141000,3141000
7,111,1,7490000,7490000
8,194,1,6490000,6490000
9,133,1,27990000,27990000
10,128,1,427500,427500
11,262,1,675000,675000
12,317,1,30390500,30390500
12,194,1,6165500,6165500
13,30,1,5841000,5841000
14,157,1,7191000,7191000
14,67,1,18990000,18990000
15,149,1,31990000,31990000
16,257,1,11990000,11990000
17,135,1,5990000,5990000
17,76,1,22990000,22990000
18,308,1,22990000,22990000
19,232,1,750000,750000
20,57,1,36990000,36990000
21,212,1,7191000,7191000
22,277,1,6165500,6165500
23,39,1,31990000,31990000
24,46,1,7191000,7191000
25,153,1,120000,120000
26,214,1,27990000,27990000
27,204,3,9490000,28470000
28,176,1,31990000,31990000
28,219,2,7191000,14382000
29,124,1,2691000,2691000
30,7,1,6490000,6490000
31,108,1,28791000,28791000
32,245,1,9490000,9490000
32,147,1,11990000,11990000
32,254,1,7990000,7990000
33,64,1,18990000,18990000
34,242,1,5990000,5990000
35,254,1,7191000,7191000
35,46,1,7191000,7191000
36,225,1,27990000,27990000
37,297,2,9490000,18980000
37,45,1,9490000,9490000
38,164,2,3990000,7980000
38,247,1,11990000,13189000
39,315,1,4590000,4590000
40,66,3,750000,2250000
41,292,1,6490000,6490000
42,278,1,5841000,5841000
43,24,2,5841000,11682000
44,56,1,6165500,6165500
45,256,1,560500,560500
46,54,1,7490000,7490000
46,22,2,4990000,9980000
46,106,1,7990000,7990000
47,269,1,450000,450000
47,207,1,3990000,3990000
48,231,1,36990000,36990000
49,138,1,7490000,7490000
49,272,1,9490000,9490000
50,32,1,11990000,11990000
51,81,1,6490000,6490000
52,102,1,2241000,2241000
53,277,1,5841000,5841000
54,211,1,6490000,6490000
55,286,1,3141000,3141000
55,20,1,4360500,4360500
55,11,1,33291000,33291000
56,229,1,250000,250000
57,56,1,5841000,5841000
58,251,1,27990000,27990000
59,200,2,27990000,55980000
60,276,1,5841000,5841000
61,159,1,11691000,11691000
61,22,1,4740500,4740500
62,29,3,250000,750000
63,78,1,450000,450000
64,1,1,1701000,1701000
65,103,2,22990000,45980000
66,97,1,4131000,4131000
67,152,1,21840500,21840500
68,262,1,675000,675000
68,92,2,225000,450000
69,158,1,2990000,2990000
69,145,1,2691000,2691000
70,118,1,18990000,18990000
71,212,1,7990000,7990000
72,283,1,9015500,9015500
72,316,1,2840500,2840500
73,135,1,5990000,5990000
74,188,1,9490500,9490500
74,272,1,9490000,9490000
75,51,1,450000,450000
75,39,1,31990000,31990000
76,216,1,3990000,3990000
76,212,1,7191000,7191000
77,87,1,4990000,4990000
78,243,1,17091000,17091000
79,270,1,5990000,5990000
79,245,1,9490000,9490000
79,251,1,27990000,27990000
80,73,1,11990000,11990000
81,180,1,2840500,2840500
81,212,1,7990000,7990000
82,196,2,4740500,9481000
82,71,1,11990000,11990000
82,284,1,2990000,3289000
83,161,2,18990000,37980000
84,172,1,3490000,3490000
85,61,1,712500,712500
86,250,1,190000,190000
87,80,1,8541000,8541000
88,231,1,36990000,36990000
88,226,1,18990000,18990000
89,261,1,8541000,8541000
90,284,1,2990000,2990000
91,201,1,4740500,4740500
92,294,1,5990000,5990000
93,78,1,450000,450000
94,240,1,5990000,5990000
95,217,1,22990000,22990000
96,156,1,27990000,27990000
97,194,2,6490000,12980000
98,83,1,27990000,27990000
98,30,2,6490000,12980000
98,183,1,2490000,2490000
99,179,1,288000,288000
100,207,1,3790500,3790500
100,33,1,250000,250000
101,38,2,10791000,21582000
102,319,1,2990000,2990000
103,184,1,6490000,6490000
104,120,1,3490000,3490000
105,149,2,31990000,63980000
106,100,1,9990000,9990000
107,183,1,2365500,2365500
108,299,1,3141000,3141000
109,37,1,108000,108000
110,201,1,4740500,4740500
111,91,2,4990000,9980000
111,112,1,27990000,27990000
111,173,1,18990000,18990000
112,197,1,675000,675000
113,74,1,5690500,5690500
113,286,1,3490000,3490000
114,80,2,8541000,17082000
115,246,1,675000,675000
115,210,1,6165500,6165500
116,239,1,6490000,6490000
117,275,1,5990000,5990000
118,298,1,6165500,6165500
119,162,1,18040500,18040500
119,158,1,2990000,2990000
119,27,3,12990000,38970000
120,123,1,2365500,2365500
121,124,1,2990000,2990000
122,81,1,6490000,6490000
122,314,1,27990000,27990000
123,51,1,450000,450000
124,164,1,3990000,3990000
125,54,1,7490000,7490000
126,277,1,5841000,5841000
126,151,1,3315500,3315500
126,37,1,108000,108000
127,14,1,225000,225000
128,282,1,7191000,7191000
128,28,1,4360500,4360500
129,164,1,3990000,3990000
130,251,2,26590500,53181000
131,250,1,190000,190000
132,299,1,3141000,3141000
132,164,1,3990000,3990000
133,12,2,25191000,50382000
134,145,1,2840500,2840500
135,103,1,21840500,21840500
136,137,1,3790500,3790500
137,275,2,5990000,11980000
138,246,1,712500,712500
138,280,1,4360500,4360500
139,34,1,17091000,17091000
140,295,2,750000,1500000
141,162,1,17091000,17091000
141,157,2,7590500,15181000
142,178,1,2990000,2990000
143,20,1,4131000,4131000
144,244,1,28791000,28791000
145,121,1,180500,180500
146,244,1,31990000,31990000
147,117,1,11390500,11390500
147,145,1,2840500,2840500
147,74,1,5990000,5990000
148,167,1,36990000,36990000
149,201,3,4990000,14970000
150,122,1,4740500,4740500
151,18,1,8541000,8541000
152,113,1,18990000,18990000
153,105,1,9490000,9490000
154,113,1,18990000,18990000
155,1,1,1795500,1795500
156,311,1,3990000,3990000
157,180,1,2990000,2990000
158,282,1,7590500,7590500
159,143,1,2490000,2490000
160,13,2,27990000,55980000
160,139,1,9490000,9490000
161,148,1,5990000,5990000
162,123,1,2490000,2490000
163,201,1,4491000,4491000
163,164,1,3990000,3990000
164,85,1,27990000,27990000
165,54,1,7490000,7490000
166,37,1,120000,120000
167,97,1,4590000,4590000
168,101,1,18990000,18990000
169,46,1,7191000,7191000
170,306,1,1890000,1890000
171,248,1,10791000,10791000
171,319,2,2990000,5980000
172,38,2,10791000,21582000
173,310,1,5990000,5990000
173,296,1,21840500,21840500
174,38,1,11990000,11990000
174,29,3,225000,675000
175,122,1,4491000,4491000
176,15,1,4990000,4990000
177,301,1,3790500,3790500
178,61,1,750000,750000
179,182,2,33291000,66582000
180,104,1,18040500,18040500
181,132,1,4740500,4740500
181,256,3,590000,1770000
