center_id,part_id,quantity,min_threshold
1,1,16,8
1,2,10,3
1,3,4,3
1,5,18,8
1,6,21,8
1,7,20,8
1,9,18,8
1,12,16,5
1,13,25,8
1,14,26,5
1,15,11,8
1,16,29,3
1,18,18,8
1,20,30,5
1,21,13,5
1,22,8,5
1,23,6,3
1,24,27,3
1,27,0,5
1,28,20,8
1,30,0,3
1,35,16,5
1,36,2,3
1,37,20,3
1,38,0,8
1,40,0,5
1,41,17,5
1,42,25,8
1,43,4,5
1,44,24,5
1,45,28,5
1,46,54,5
1,47,0,5
1,50,3,5
1,52,24,8
1,53,14,5
1,54,20,3
1,55,13,8
1,58,27,8
1,59,6,5
1,60,21,8
1,61,21,3
1,62,20,5
1,63,10,5
1,70,27,3
1,71,18,3
1,72,21,8
1,74,10,5
1,75,27,5
1,76,29,3
1,80,33,8
1,81,19,5
1,82,19,3
1,83,23,5
1,84,0,8
1,85,2,3
1,87,11,8
1,88,47,3
1,89,24,3
1,90,31,5
1,92,12,5
1,93,4,8
1,94,0,5
1,95,35,5
1,96,4,3
1,97,47,8
1,99,13,3
1,100,21,5
1,101,27,5
1,102,13,8
1,105,5,5
1,110,11,3
1,111,22,8
1,115,26,5
1,116,24,3
1,117,26,8
1,118,18,3
1,119,30,8
1,120,8,3
1,121,23,8
1,123,14,5
1,125,10,8
1,126,26,8
1,127,40,3
1,129,10,5
1,132,29,5
1,134,20,5
1,135,6,3
1,136,0,5
1,137,25,8
1,138,24,8
1,139,4,8
1,141,29,5
1,142,20,5
1,143,0,8
1,144,25,8
1,145,0,5
1,146,15,3
1,147,22,5
1,148,20,8
1,149,12,3
1,150,20,8
1,151,0,5
1,152,22,8
1,153,5,8
1,155,25,8
1,157,20,3
1,158,50,5
1,159,40,3
1,160,31,3
1,161,20,3
1,164,38,8
1,165,79,8
1,166,28,3
1,167,32,5
1,168,30,8
1,173,22,8
1,174,3,8
1,175,26,3
1,176,13,8
1,178,11,8
1,179,3,8
1,180,24,3
2,1,33,8
2,2,21,3
2,3,23,8
