transaction_id,center_id,part_id,loai,so_luong,ngay,ticket_code
1,1,97,NHAP,19,2024-07-01,
2,1,152,NHAP,28,2024-07-01,
3,4,21,NHAP,23,2024-07-01,
4,4,24,NHAP,22,2024-07-01,
5,4,66,NHAP,23,2024-07-01,
6,6,17,NHAP,19,2024-07-01,
7,6,70,NHAP,6,2024-07-01,
8,6,171,NHAP,5,2024-07-01,
9,3,179,NHAP,24,2024-07-02,
10,5,82,NHAP,2,2024-07-02,
11,6,43,NHAP,26,2024-07-02,
12,2,173,NHAP,8,2024-07-03,
13,3,23,NHAP,10,2024-07-03,
14,3,77,NHAP,22,2024-07-03,
15,5,110,NHAP,36,2024-07-03,
16,6,66,NHAP,35,2024-07-03,
17,6,76,NHAP,6,2024-07-03,
18,2,52,NHAP,16,2024-07-04,
19,2,147,NHAP,23,2024-07-04,
20,3,96,NHAP,34,2024-07-04,
21,5,153,NHAP,17,2024-07-04,
22,6,146,NHAP,35,2024-07-04,
23,2,22,NHAP,9,2024-07-05,
24,3,171,NHAP,18,2024-07-05,
25,5,77,NHAP,15,2024-07-06,
26,1,164,NHAP,37,2024-07-07,
27,1,178,NHAP,19,2024-07-07,
28,2,46,NHAP,32,2024-07-07,
29,2,100,NHAP,2,2024-07-07,
30,3,123,NHAP,19,2024-07-07,
31,4,125,NHAP,17,2024-07-07,
32,4,127,NHAP,7,2024-07-07,
33,4,164,NHAP,21,2024-07-07,
34,5,174,NHAP,9,2024-07-07,
35,6,31,NHAP,9,2024-07-07,
36,2,24,NHAP,21,2024-07-08,
37,2,70,NHAP,5,2024-07-08,
38,4,26,NHAP,32,2024-07-08,
39,2,142,NHAP,23,2024-07-09,
40,3,71,NHAP,34,2024-07-09,
41,5,10,NHAP,39,2024-07-09,
42,5,104,NHAP,39,2024-07-09,
43,5,149,NHAP,2,2024-07-09,
44,2,2,NHAP,29,2024-07-10,
45,4,81,NHAP,40,2024-07-10,
46,4,86,NHAP,8,2024-07-10,
47,5,144,NHAP,22,2024-07-10,
48,6,14,NHAP,32,2024-07-10,
49,1,101,NHAP,37,2024-07-11,
50,3,104,NHAP,21,2024-07-11,
51,5,178,NHAP,34,2024-07-11,
52,6,99,NHAP,24,2024-07-11,
53,1,102,NHAP,21,2024-07-12,
54,1,166,NHAP,37,2024-07-12,
55,2,73,NHAP,20,2024-07-12,
