response_id,ticket_id,score,comment,responded_at
1,1083,2,Nhân viên trả lời không rõ ràng,2025-05-22 21:30
2,452,1,Mất phụ kiện kèm theo máy,2026-02-06 21:01
3,4538,5,Dịch vụ tốt sẽ quay lại,2025-04-26 01:50
4,3492,5,,2025-06-04 11:15
5,1196,5,"Nhân viên nhiệt tình, sửa nhanh",2025-11-12 00:41
6,254,5,"Rất hài lòng, máy chạy tốt lại",2025-10-01 19:40
7,3900,5,Dịch vụ tốt sẽ quay lại,2026-02-21 01:56
8,6687,5,Kỹ thuật viên giải thích rõ ràng,2024-09-24 18:49
9,6716,4,,2026-04-02 08:58
10,6190,4,,2026-02-24 20:33
11,6234,4,"Ổn, chỉ hơi lâu một chút",2025-07-26 11:09
12,4112,2,Trả máy trễ hẹn 3 ngày,2025-07-13 08:53
13,6189,1,Thái độ nhân viên không tốt,2024-12-27 22:26
14,2109,5,,2026-05-10 17:22
15,885,5,"Nhân viên nhiệt tình, sửa nhanh",2024-12-30 23:51
16,6370,2,Nhân viên trả lời không rõ ràng,2024-12-12 16:20
17,7244,3,,2025-12-08 19:00
18,6919,4,"Ổn, chỉ hơi lâu một chút",2025-09-07 06:59
19,4980,5,,2026-08-28 07:00
20,942,4,"Tốt, giá hơi cao",2026-05-01 20:48
21,4853,5,"Rất hài lòng, máy chạy tốt lại",2025-07-17 07:49
22,2716,5,Kỹ thuật viên giải thích rõ ràng,2025-09-21 10:09
23,6548,4,"Ổn, chỉ hơi lâu một chút",2026-04-28 01:53
24,4140,5,"Rất hài lòng, máy chạy tốt lại",2025-01-30 15:06
25,502,1,Mất phụ kiện kèm theo máy,2026-09-02 16:14
26,6160,5,Kỹ thuật viên giải thích rõ ràng,2026-03-15 05:45
27,5150,5,,2026-01-30 05:36
28,544,5,"Nhân viên nhiệt tình, sửa nhanh",2026-04-12 13:25
29,5861,5,Dịch vụ tốt sẽ quay lại,2024-12-19 20:16
30,7680,3,Chờ hơi lâu,2026-04-21 04:50
31,1668,5,,2025-08-04 23:43
32,6268,4,"Ổn, chỉ hơi lâu một chút",2025-02-01 17:27
33,5305,5,"Nhân viên nhiệt tình, sửa nhanh",2025-09-09 10:28
34,2503,4,Sửa được nhưng phải chờ linh kiện,2025-05-04 23:06
35,3420,3,,2025-10-21 00:28
36,6436,4,,2025-12-26 04:53
37,416,5,"Rất hài lòng, máy chạy tốt lại",2026-04-17 15:04
38,418,4,Hài lòng nhưng chỗ ngồi chờ hơi chật,2025-07-24 17:17
39,4814,2,,2026-04-20 05:48
