technician_id,category_id,proficiency
1,5,3
1,4,5
1,6,3
2,2,5
2,4,3
2,1,3
2,6,2
2,3,3
3,4,5
3,6,3
3,2,3
4,5,2
4,4,2
4,1,5
5,4,2
5,2,3
5,5,5
5,1,2
5,6,2
6,2,4
6,1,2
6,4,4
6,6,3
6,5,2
7,3,3
7,4,3
7,2,5
7,5,3
8,1,4
8,3,4
8,5,4
8,6,3
9,6,2
9,3,4
9,1,4
9,2,5
10,6,2
10,1,4
10,3,2
10,2,2
10,5,5
11,2,2
11,1,4
11,5,4
11,4,2
11,3,3
12,6,4
12,3,5
12,2,3
12,4,5
13,6,3
13,2,2
13,4,3
14,1,5
14,5,2
14,2,5
14,3,4
14,6,2
15,5,2
15,1,5
15,6,3
15,4,3
15,3,4
16,5,4
16,1,2
16,2,2
16,6,4
17,1,5
17,3,5
17,6,4
17,4,4
17,2,5
18,3,2
18,2,4
18,1,4
18,4,2
18,6,5
19,5,5
19,4,4
19,1,5
20,6,4
20,4,4
20,2,3
20,1,5
21,1,5
21,2,5
21,5,4
21,4,2
22,2,2
22,1,5
22,6,3
22,3,5
22,4,4
23,3,5
23,6,2
23,5,4
23,4,2
23,2,3
24,3,2
24,2,5
24,1,5
25,5,3
25,2,2
25,3,5
25,1,3
25,4,3
26,6,3
26,2,2
26,3,3
26,5,2
26,4,5
27,4,2
27,2,4
27,5,3
27,6,3
28,4,5
28,6,5
28,3,3
28,2,2
28,1,5
29,2,2
29,1,4
29,4,5
30,2,4
30,3,3
30,5,3
30,1,5
30,4,3
31,3,2
31,4,4
31,1,3
31,5,2
32,6,2
32,3,5
32,1,5
32,4,3
33,4,2
33,1,5
33,5,2
33,2,3
33,3,3
34,3,4
34,4,3
34,1,4
34,6,2
35,6,4
35,2,2
35,4,2
36,6,3
36,5,4
36,1,2
37,2,5
37,3,3
37,5,3
37,6,3
38,1,5
38,5,3
38,4,5
38,6,5
